,homexGDiff,awayxGdiff,homeShotDiff,awayShotDiff,homeFenDiff,awayFenDiff,homeGoalDiff,awayGoalDiff,result
79,-1.2396000000000065,0.8249999999999975,0,7,0,15,-3,4,1
80,0.8813999999999993,2.722899999999999,-2,5,-24,26,-6,12,0
81,-1.0572999999999926,5.013800000000012,-18,50,-12,43,-2,0,0
82,-2.787100000000006,-3.859300000000003,-17,-32,-9,-53,-5,4,0
83,-0.759500000000001,-3.509699999999997,8,-52,10,-49,-7,7,0
84,3.7091999999999974,5.217900000000011,44,39,43,89,1,6,1
85,1.7242999999999924,0.8019999999999889,6,0,16,12,7,2,0
86,-2.4442000000000164,1.1768,-28,38,-45,35,0,-5,1
87,-2.35789999999999,-8.346900000000005,-14,-74,-7,-113,4,-9,1
88,4.885299999999999,-0.28180000000000405,32,-6,57,-36,4,-9,0
89,2.261300000000018,1.7413999999999934,21,18,36,31,1,2,1
90,-3.859300000000003,-3.627799999999983,-32,-18,-53,-40,4,-11,0
91,1.1825999999999954,-0.47360000000000646,18,-38,6,-28,5,12,1
92,8.22499999999999,0.2309000000000303,90,-13,100,5,0,-2,0
93,0.16499999999999204,3.8860999999999937,-5,9,-21,38,-1,15,1
94,-1.0046999999999944,-0.7064000000000004,-12,-14,-14,-11,-5,6,1
95,2.2789000000000073,4.9612000000000105,17,44,23,45,6,3,1
96,-1.447499999999998,5.236100000000011,15,35,12,93,-11,5,0
97,-0.9347999999999992,-6.829800000000009,-20,-53,-56,-84,-5,-13,0
98,5.5382999999999925,0.2473999999999812,46,-11,77,5,0,3,0
99,2.034299999999998,-1.06130000000001,24,-37,34,-35,7,10,1
100,-3.110200000000008,-0.38899999999998514,-7,6,-22,0,-2,-8,0
101,-1.3825999999999912,10.945999999999993,-10,112,-8,124,8,-3,0
102,-3.1990000000000265,3.3326000000000278,-36,26,-56,41,1,2,1
103,3.690999999999997,3.0461999999999954,48,0,39,21,2,12,1
104,1.931599999999996,-2.8217,46,-59,46,-51,-6,11,1
105,0.44059999999997856,-2.155999999999999,-3,-11,-9,-16,-8,-1,1
106,-3.4431999999999867,3.313400000000012,-26,25,-44,32,-8,8,0
107,0.6700999999999908,5.5382999999999925,13,46,26,77,1,0,1
108,-1.5909000000000013,1.0048999999999886,-28,4,-28,-4,2,2,0
109,-9.3222,-2.9244999999999948,-78,-17,-112,-27,-13,-3,0
110,2.390100000000004,-2.644999999999989,20,-25,31,-28,9,4,1
111,-5.357299999999999,4.829500000000014,-33,37,-69,64,3,0,1
112,1.7703000000000024,0.04910000000001702,17,8,13,1,7,-6,0
113,-3.230600000000006,-3.5483000000000082,-63,-9,-61,-23,7,-4,0
114,-1.473700000000001,-1.001800000000003,-8,-16,11,-16,-7,0,1
115,-4.695900000000021,0.4157999999999902,-47,-8,-79,-16,3,4,0
116,-1.4171000000000156,-2.490099999999977,-33,-35,-32,-19,8,1,1
117,2.3404999999999987,-3.0016000000000105,50,-7,56,-19,-2,-12,0
118,-3.3699999999999797,3.926700000000011,-24,36,-42,36,-10,1,1
119,1.2090999999999745,-0.12020000000000408,3,2,2,3,-6,-1,0
120,3.240200000000005,-10.317099999999998,23,-85,30,-126,10,-15,1
121,0.48570000000000135,2.685699999999997,-3,20,-35,34,-8,13,0
122,12.208399999999992,-0.8187000000000069,127,-13,144,-7,1,3,1
123,6.79020000000002,-0.6392000000000202,57,-2,124,10,6,4,0
124,-4.595300000000009,3.2215000000000025,-25,0,-51,21,-11,9,1
125,-8.250300000000001,-1.6279000000000146,-70,-25,-105,-22,-10,1,0
126,-2.042400000000022,7.913699999999995,-35,63,-35,105,10,-3,0
127,7.821600000000018,1.4571000000000147,67,8,110,-1,-1,5,1
128,-2.926599999999972,-1.929599999999997,-19,-10,-41,-13,-9,-1,0
129,-8.349400000000008,7.438500000000008,-63,64,-115,145,4,2,0
130,-2.3924999999999983,-4.745600000000005,-51,-48,-49,-88,6,2,1
131,-2.940599999999982,0.36230000000000473,-25,17,-31,15,0,-4,1
132,-1.0642000000000031,-4.3864000000000125,-19,-21,-26,-35,-4,-3,0
133,2.716799999999985,3.4833000000000034,30,31,27,35,-8,0,1
134,-1.2875000000000192,-1.0578000000000145,-9,-11,-11,-7,8,2,1
135,-1.4112999999999936,-1.8647999999999705,-5,-33,21,-16,-3,-1,0
136,3.5156999999999954,0.46549999999998093,48,-7,39,-7,5,5,0
137,3.934199999999997,4.2026999999999965,68,10,88,30,-3,5,1
138,12.447499999999998,-0.1708000000000034,125,-4,144,-45,2,-12,1
139,-6.403500000000008,0.5586000000000091,-66,24,-108,24,1,-5,0
140,-9.572899999999992,8.058999999999997,-83,54,-126,106,-11,0,0
141,-10.77989999999999,3.9634000000000036,-74,32,-124,37,-19,-2,1
142,3.702999999999996,-0.305300000000031,12,-12,28,-1,14,2,1
143,-0.7345999999999933,-3.1368999999999865,-33,-32,-29,-40,7,1,1
144,8.437000000000005,-1.4057999999999637,72,-35,165,-15,3,2,0
145,-0.7066000000000159,2.236699999999985,-11,29,-21,25,-7,-6,0
146,4.337199999999985,3.3421999999999983,15,21,31,44,3,17,0
147,-1.1768999999999892,-0.5337999999999923,-12,-22,-8,-38,0,3,1
148,9.328499999999991,-9.347900000000003,72,-71,126,-135,1,3,1
149,-3.3451999999999558,7.167999999999978,-50,35,-43,53,2,15,0
150,2.2560999999999964,-4.744,33,-29,40,-40,-5,0,1
151,-8.100999999999996,0.10829999999998918,-75,-3,-124,-3,1,9,0
152,-2.1877000000000173,2.256299999999989,-26,27,-36,36,7,-2,1
